A,B,C,D,E
"2012/04/20","9561.36","9574.99","9580.87","9532.68"
"2012/04/23","9542.17","9599.20","9643.27","9520.98"
"2012/04/24","9468.04","9466.08","9510.70","9423.30"
"2012/04/25","9561.01","9578.42","9582.73","9530.02"
"2012/04/26","9561.83","9613.16","9630.97","9531.03"
"2012/04/27","9520.89","9564.40","9691.70","9463.60"
"2012/05/01","9350.95","9471.66","9472.25","9332.79"
"2012/05/02","9380.25","9397.87","9417.96","9344.53"
"2012/05/07","9119.14","9198.17","9206.45","9109.01"
"2012/05/08","9181.65","9190.50","9207.56","9159.47"
"2012/05/09","9045.06","9112.72","9115.94","9021.20"
"2012/05/10","9009.65","9013.26","9075.63","8985.90"
"2012/05/11","8953.31","9019.40","9050.61","8944.63"
"2012/05/14","8973.84","8986.22","9031.09","8947.82"
"2012/05/15","8900.74","8910.85","8930.78","8838.78"
"2012/05/16","8801.17","8865.78","8883.73","8756.07"
"2012/05/17","8876.59","8789.47","8885.08","8765.71"
"2012/05/18","8611.31","8727.58","8735.54","8588.16"
"2012/05/21","8633.89","8617.92","8676.20","8608.62"
"2012/05/22","8729.29","8721.59","8740.48","8690.47"
"2012/05/23","8556.60","8715.14","8715.14","8538.69"
"2012/05/24","8563.38","8537.99","8597.85","8496.61"
"2012/05/25","8580.39","8616.85","8616.85","8550.93"
"2012/05/28","8593.15","8604.99","8624.51","8568.87"
"2012/05/29","8657.08","8565.56","8657.08","8517.18"
"2012/05/30","8633.19","8637.95","8656.71","8568.97"
"2012/05/31","8542.73","8499.68","8542.73","8455.13"
"2012/06/01","8440.25","8465.47","8487.44","8422.50"
"2012/06/04","8295.63","8278.65","8303.35","8238.96"
"2012/06/05","8382.00","8331.02","8388.14","8306.93"
"2012/06/06","8533.53","8428.36","8549.00","8412.55"
"2012/06/07","8639.72","8639.25","8647.79","8599.64"
"2012/06/08","8459.26","8609.78","8611.93","8427.20"
"2012/06/11","8624.90","8612.14","8665.80","8594.58"
"2012/06/12","8536.72","8478.78","8575.87","8452.50"
"2012/06/13","8587.84","8557.57","8615.89","8554.14"
"2012/06/14","8568.89","8531.40","8592.17","8520.99"
"2012/06/15","8569.32","8608.43","8625.19","8552.75"
"2012/06/18","8721.02","8723.55","8766.56","8711.49"
"2012/06/19","8655.87","8692.82","8712.86","8630.66"
"2012/06/20","8752.31","8739.10","8770.41","8711.22"
"2012/06/21","8824.07","8794.03","8859.04","8790.86"
"2012/06/22","8798.35","8733.50","8830.34","8731.79"
"2012/06/25","8734.62","8837.83","8837.83","8726.40"
"2012/06/26","8663.99","8671.61","8712.68","8619.36"
"2012/06/27","8730.49","8677.76","8730.49","8641.52"
"2012/06/28","8874.11","8816.07","8881.44","8805.65"
"2012/06/29","9006.78","8811.46","9044.04","8803.33"
"2012/07/02","9003.48","9103.79","9103.79","9003.48"
"2012/07/03","9066.59","9013.65","9082.39","9012.86"
"2012/07/04","9104.17","9119.69","9136.02","9095.31"
"2012/07/05","9079.80","9078.46","9130.54","9069.01"
"2012/07/06","9020.75","9052.70","9082.04","8977.35"
"2012/07/09","8896.88","8922.99","8954.44","8892.17"
"2012/07/10","8857.73","8922.03","8966.99","8855.93"
"2012/07/11","8851.00","8819.04","8851.00","8797.73"
"2012/07/12","8720.01","8859.39","8862.80","8709.75"
"2012/07/13","8724.12","8701.35","8759.06","8695.44"
"2012/07/17","8755.00","8740.98","8808.87","8711.73"
"2012/07/18","8726.74","8796.15","8802.09","8715.14"
